host_since,neighbourhood,city,accommodates,price
12/05/2015,Batignolles-Monceau,Paris,2,50
12/11/2015,Reuilly,Paris,2,60
29/10/2013,Enclos-St-Laurent,Paris,2,80
29/06/2016,Luxembourg,Paris,2,100
10/09/2014,Hotel-de-Ville,Paris,2,100
23/06/2015,Buttes-Chaumont,Paris,2,80
15/09/2016,Pantheon,Paris,2,80
20/04/2018,Luxembourg,Paris,2,175
02/06/2014,Buttes-Montmartre,Paris,2,60
27/06/2018,Buttes-Chaumont,Paris,2,30
14/03/2014,Buttes-Montmartre,Paris,2,80
01/02/2015,Palais-Bourbon,Paris,2,119
11/09/2016,Buttes-Montmartre,Paris,2,79
10/06/2014,Batignolles-Monceau,Paris,2,50
29/03/2015,Opera,Paris,2,100
01/08/2015,Buttes-Montmartre,Paris,2,70
13/07/2018,Batignolles-Monceau,Paris,2,52
10/11/2013,Menilmontant,Paris,2,80
26/04/2014,Menilmontant,Paris,2,50
28/07/2015,Vaugirard,Paris,2,30
07/05/2014,Enclos-St-Laurent,Paris,2,60
31/01/2017,Buttes-Montmartre,Paris,2,75
04/09/2016,Enclos-St-Laurent,Paris,2,44
26/06/2014,Buttes-Montmartre,Paris,2,97
12/07/2016,Enclos-St-Laurent,Paris,2,90
26/01/2015,Temple,Paris,2,75
04/09/2013,Buttes-Chaumont,Paris,2,55
12/02/2015,Batignolles-Monceau,Paris,2,55
15/04/2014,Popincourt,Paris,2,150
05/03/2014,Buttes-Montmartre,Paris,2,60
24/07/2014,Observatoire,Paris,2,45
22/08/2013,Buttes-Montmartre,Paris,2,350
03/06/2016,Reuilly,Paris,2,78
25/12/2015,Vaugirard,Paris,2,80
18/07/2013,Buttes-Montmartre,Paris,2,149
09/03/2014,Buttes-Montmartre,Paris,2,90
16/04/2018,Pantheon,Paris,2,89
19/12/2013,Pantheon,Paris,2,70
11/02/2013,Buttes-Montmartre,Paris,2,75
03/04/2016,Enclos-St-Laurent,Paris,2,90
07/12/2019,Popincourt,Paris,2,125
05/04/2012,Luxembourg,Paris,2,73
